Accession,Release_Date,Species,Genus,Family,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Authors,Publications,Geo_Location,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
MT262913,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29882,GenBank,complete,,,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA: WA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-NH22/2020, complete genome"
MT262914,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29882,GenBank,complete,,,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA: WA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-NH24/2020, complete genome"
MT263462,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29764,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-23,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW383/2020, complete genome"
MT262915,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29882,GenBank,complete,,,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA: WA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-NH13/2020, complete genome"
MT263396,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29903,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-22,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW315/2020, complete genome"
MT262901,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29882,GenBank,complete,,,"Zhang,J., Tao,Y., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA: WA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-NH7/2020, complete genome"
MT263395,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29904,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW314/2020, complete genome"
MT263466,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29634,GenBank,partial,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-23,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW387/2020, partial genome"
MT263469,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29857,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-23,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW390/2020, complete genome"
MT263405,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29834,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-21,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW325/2020, complete genome"
MT263416,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29815,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-21,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW336/2020, complete genome"
MT263417,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29871,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW337/2020, complete genome"
MT263459,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29917,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW380/2020, complete genome"
MT263460,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29755,GenBank,partial,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW381/2020, partial genome"
MT263461,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29828,GenBank,partial,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-22,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW382/2020, partial genome"
MT263465,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29867,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-23,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW386/2020, complete genome"
MT263467,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29853,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-23,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW388/2020, complete genome"
MT263468,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29892,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-23,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW389/2020, complete genome"
MT263412,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29829,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-22,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW332/2020, complete genome"
MT263422,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29837,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW342/2020, complete genome"
MT263427,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,partial,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW347/2020, partial genome"
MT263428,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29778,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW348/2020, complete genome"
MT263429,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29889,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW349/2020, complete genome"
MT263442,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29819,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW362/2020, complete genome"
MT263449,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29828,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW369/2020, complete genome"
MT263450,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29841,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW370/2020, complete genome"
MT263430,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29838,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW350/2020, complete genome"
MT263403,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29878,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-20,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW323/2020, complete genome"
MT263404,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29866,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW324/2020, complete genome"
MT263408,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29810,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW328/2020, complete genome"
MT263410,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29871,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW330/2020, complete genome"
MT263411,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29866,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW331/2020, complete genome"
MT263414,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29830,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW334/2020, complete genome"
MT263419,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29853,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-20,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW339/2020, complete genome"
MT263418,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29876,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW338/2020, complete genome"
MT263420,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29839,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-20,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW340/2020, complete genome"
MT263421,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29900,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW341/2020, complete genome"
MT262993,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29836,GenBank,complete,,,"Zainab,T., Shamshad,S., Noureen,A., Malik,A., Asad,M.J., Rizvi,K.A.",,Pakistan: KPK,Homo sapiens,oronasopharynx,2020-03-12,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-Cov-2/human/PAK/Manga1/2020, complete genome"
MT263398,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29884,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW317/2020, complete genome"
MT263406,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29887,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-21,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW326/2020, complete genome"
MT263407,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29575,GenBank,partial,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-22,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW327/2020, partial genome"
MT263409,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29443,GenBank,partial,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-22,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW329/2020, partial genome"
MT263415,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29840,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW335/2020, complete genome"
MT262916,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29882,GenBank,complete,,,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA: WA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-NH23/2020, complete genome"
MT263397,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29601,GenBank,partial,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW316/2020, partial genome"
MT263413,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29862,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW333/2020, complete genome"
MT263451,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29693,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW371/2020, complete genome"
MT263452,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29833,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW372/2020, complete genome"
MT263448,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29828,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW368/2020, complete genome"
MT262911,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29882,GenBank,complete,,,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA: WA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-NH20/2020, complete genome"
MT262912,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29882,GenBank,complete,,,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA: WA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-NH21/2020, complete genome"
MT263074,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29856,GenBank,complete,,,"Padilla-Rojas,C.P., Lope-Pari,P.N., Vega-Chozo,K., Balbuena-Torres,J., Caceres-Rey,O.A., Bailon-Calderon,H., Huaringa-Nunez,M., Rojas-Serrano,N.",,Peru,Homo sapiens,,2020-03-10,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PER/Peru-10/2020, complete genome"
MT263432,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29866,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW352/2020, complete genome"
MT263382,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29900,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-23,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW299/2020, complete genome"
MT263381,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29910,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-23,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW298/2020, complete genome"
MT263433,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29853,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW353/2020, complete genome"
MT263457,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29801,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW378/2020, complete genome"
MT263434,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29790,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW354/2020, complete genome"
MT263435,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29882,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW355/2020, complete genome"
MT263436,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29846,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW356/2020, complete genome"
MT263437,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29871,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW357/2020, complete genome"
MT263386,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29808,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-22,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW303/2020, complete genome"
MT263400,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29841,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-23,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW320/2020, complete genome"
MT263383,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29797,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW300/2020, complete genome"
MT263385,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29610,GenBank,partial,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-23,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW302/2020, partial genome"
MT263438,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29872,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW358/2020, complete genome"
MT263388,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29740,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-23,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW305/2020, complete genome"
MT263389,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29454,GenBank,partial,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-23,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW306/2020, partial genome"
MT263390,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29761,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW307/2020, complete genome"
MT263391,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29911,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW308/2020, complete genome"
MT263399,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29886,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW319/2020, complete genome"
MT263401,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29473,GenBank,partial,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-23,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW321/2020, partial genome"
MT263402,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29844,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-23,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW322/2020, complete genome"
MT263444,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29857,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-20,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW364/2020, complete genome"
MT263453,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29777,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW373/2020, complete genome"
